-de
borde
bordet
bore
boremaskine
borer
borg
botanisk
brev
bro
broccoli
broen
bror
bruge
bruger
brugte
brun
brunede kartofler
brusebad
bruser
bryllup
bryluppet
brækket
brændt
brændte
bræt
bræt
brød
brødet
brønd
buddist
bukser
bund
bunden
burde
burde
burger
bus
busk
bussen
butik
butikken
by
byen
bygge
bygger
bygning
bygningen
bygninger
båd
både
bål
båret
bælte
bær
bærbar
bære
bærer
bøger
bølger
bønne
bønner
bør
bør
børn
børnene
børste
børste
børstede
cafe
cafeen
caffe latte
center
centrum
chauffør
chaufføren
chili
chokolade
citron
citronen
computer
computeren
content
creme
cremen
cykel
cykeltur
cykle
cyklen
cykler
cykler
cykling
da
dag
dage
dagen
dagene
dal
dampe
dampede
damper
dampet
dans
danse
dansede
danser
dansk
dansker
danskere
danskeren
danskvand
datalogi
date
dater
datter
de
de
december
definition
definitionen
definitioner
dejlig
dejlige
dejligt
del
dele
dele
delen
delene
dem
den
den
den
dengang
denne
dens
der
der
deres
derfor
derhen
derhenne
derude
dessert
desværre
det
det
det
det er
det var så lidt
dette
diamant
dig
din
din
dine
disse
dit
dobbel
dobbelt
dobbeltværelse
dreje
drejer
dreng
drenge
drengen
drengens
dressing
drikke
drikkepenge
drikker
drink
drinken
drinks
dronning
drømme
drømmer
drømte
du
du har
du hedder
dukke
dummere
dykke
dyne
dyne
dyr
dyre
dyrene
dyret
dyrker
dyrt
dårlig
dårlige
dårligt
dårligt
dø
død
døde
dør
dør
døren
eddike
efter
efter
efter
eftermiddag
efternavn
efternavne
efterår
efteråret
egen
egentlig
egern
eget
egne
eje
eksamen
eksempel
eksempler
eksemplet
eksplodere
el
elefant
elefanter
elevator
elg
eller
elleve
ellevte
elske
elskede
elsker
elsket
emne
en
en
en god ide at
end
endelig
endnu
energi
eneste
engang
engelsk
enkel
enkelt
enkeltværelse
enogtyve
er
er det
er du
er igang med at
er ved at
espresso
est
este
et
et
etage
etagen
euro
eventyr
fabrik
fadøl
fag
faktisk
falde
falder
faldt
familie
familien
fandt
fang
fange
fangede
fanger
fantastisk
far
faret vild
farfar
farlig
farlige
farligt
farmor
farve
farvel
farver
farvet
faste
fastelavn
fatige
fatte
fattede
fatter
fattig
fattigt
februar
fed
fede
fedt
fejre
fejrede
fem
femogtredive
femte
femten
ferie
ferien
ferierne
fest
feste
festede
festen
fester
fik
film
filme
fin
finde
finder
fine
fint
fire
fireogtyve
fireogtyvende
firs
fisk
fisker
fisker
fitnes
fjende
fjer
fjerde
fjernsyn
fjorten
flag
flaske
flaskeøl
flere
flink
flod
floor
flot
flotte
flottest
flue
fly
flyet
flytte
flyttede
flytter
flyve
flyver
flæsk
flæskesteg
fløde
flødeskum
fløjte
fod
fodbold
fodboldspiller
foden
folk
for
for
for
for
for
for eksempel
foran
forbandt
forberede
forbereder
forbind
forbinde
forbinder
forbudt
forbundet
fordi
fordi
foregå
foregår
forelskede
forelsket
forelsket i
forestilling
forfader
forfatter
forfædre
forhold
forholdet
forkert
forklaring
forlade
forlader
formiddag
fornavn
fornøjelse
forretning
forskellig
forskellige
forskelligt
forstod
forstå
forstår
fortælle
fortæller
forår
foråret
forældre
fra
frakke
fransk
fredag
fredagen
fredags
frem
fremtid
fremtiden
fri
fri
frisk
frisør
fritid
fritidsaktivitet
frokost
frokosten
frokostpause
frugt
frugt
frugten
frugter
fryser
fugl
fugle
fuglen
fuglene
fugtig
fuld
fulde
fundet
fyr
fysik
få
få
fået
får
får
fælles
fællesskab
færdig
færge
fætre
fætter
fødder
fødselsdag
fødselsdagen
føle
følelse
føler
følger
følte
før
før
først
første
gad
gade
gaden
gader
gaffel
gaflen
gafler
gamle
gammel
gammeldags
gammelt
gang
gange
gardin
gartner
gave
gedebuk
gedebukke
gedebukken
gemme
gennem
genoplive
genopliver
geografi
gerne
gerne
gide
gider
gift
gift
giftes
giftig
gik
giver
gjorde
glad
glade
glas
glasset
glat
glatte
glem
glemme
glemmer
glemt
glemte
gluten
glæde
glæden
glæder
god
goddag
gode
godeftermiddag
godmorgen
godnat
godt
godt
godt
golf
golfbane
golfbold
gravid
gribe
griber
grill
grille
grim
grimme
grimt
grine
grineren
gris
grise
grisen
grundlagde
grundlægge
grundlægger
gruppe
gruppen
grupper
gryde
grå
gråt
græde
græs
græsset
grød
grøn
grønne
grønt
grøntsag
grøntsagen
grøntsager
gud
guder
guitar
gul
gul
guld
gule
gulerod
gult
gulv
gulvet
gummistøvler
gymnasiet
gymnasium
gymnastik
gå
gået
gået ned
går
går
går
går og
gård
gården
gårdens
gåtur
gæst
gæsten
gæster
gør
gør det selv
gøre
hader
hagl
hakkebøf
hal
halskæde
halstørklæde
halv
halv pris
halvfems
halvtreds
ham
hammer
han
handle
handlede
handlede
handler
handler
handlet
handsker
hans
har
har det
har du det
hare
hat
hav
hav det
hav en god
havde
have
have
havearbejde
havearbejdet
haven
havet
havfrue
havfruen
havfruer
havfruerne
havn
havnen
havre
hed
hedder
hej
heks
hel
held og lykke
hele
heller
hellere
hellig
helt
helt
hen
hen
hende
hendes
henne
hente
henter
her
hest
heste
hesten
hestene
himlen
himmel
hinanden
hindbær
hinduist
hinduistisk
historie
historien
historier
historisk
hjalp
hjelm
hjem
hjem
hjemme
hjemmeside
hjulpet
hjælp
hjælp
hjælpe
hjørne
hold
holde
holder
honning
hop
hoppe
hos
hospital
hospitalet
hotel
hoved
hovedet
hud
huden
hue
hul
huller
hullet
humør
hun
hund
hunde
hunden
hundens
hundrede
hurtigst
hurtigste
hurtigt
hus
huse
huset
husk
huske
husker
hvad
hvad
hvem
hver
hver for sig
hverdag
hvert
hvid
hvide
hvidløg
hvidt
hvilke
hvilken
hvilket
hvis
hvor
hvor
hvordan
hvordan
hvorfor
hvorfor
hvornår
hvornår
hygge
hyggelig
hyggeligt
hygger
håbe
håbede
håber
håbet
hånd
håndbold
håndtaske
hår
hård
hård
hård
hårde
hårdest
hårdt
håret
hæk
hække
hækken
hænder
hænge
hænger
hætte
hættetrøje
høj
høje
højere
højest
højre
højt
højt
højtaler
højtaleren
høns
høre
hører
høvding
i
i
i
i aftes
i dag
i eftermiddags
i forgårs
i går
i går
i hvert fald
i morgen
i morgen
i morges
i nærheden
i orden
i overmorgen
i skole
i stykker
i supermarkedet
i år
id
ide
ideer
igen
ikke
ikke
ild
ind
ind
indadvendt
inde
inden
indenfor
indisk
indkøb
influencer
ingen
institut
interesseret i
invitere
inviterer
is
is
isbjørn
italiensk
ja
jakke
jakkesæt
jaloux
januar
japansk
japansk
japanske
jeg
jer
jeres
joke
jord
jordbær
jordbærrene
jordbærret
jorden
juice
jul
jule
juli
juni
jætte
jøde
kaffe
kaffen
kage
kagen
kakao
kamel
kamelen
kamera
kamp
kampen
kan
kan jeg købe
kan lide
kanel
kapitel
kapitler
kapitlet
kapitlet
karakter
karakterer
karbad
karneval
karry
kartoffel
kartoflen
kartofler
kasket
kasse
kast
kaste
kaster
kat
katte
katten
ked af
kede
kede af
kedede
kedelig
kedeligst
keder
kemi
kemikalie
kender
kigge
kigger
kiks
kilo
kind
kinden
kinder
kinesisk
kinesiske
kirke
kirken
kirker
kjole
kjolen
kjoler
kl
klapper
klar
klar
klart
klasse
klassen
klasseværelse
klassisk
klaver
klaveret
klip-klapper
klippe
klippet
klit
klog
klokken
kloster
klud
klæde
kniv
knive
kniven
ko
koen
koge
koge
koger
kogt
kogt
kogte
kogte
kok
kokken
kold
kolde
koldt
kollega
kom
kom
komfur
komiker
komme
kommer
kommer
kommet
kompas
koncert
kone
konge
kongen
kontor
kontrol
kop
koriander
korn
kornet
kort
korte
koster
krabbe
kradser
kraft
kreditkort
kriger
kristen
kro
kroen
krone
kroner
krop
kroppe
kroppen
kuglepen
kul
kun
kunne
kunst
kunstner
kursus
kurv
kusine
kusiner
kvart
kvarter
kvinde
kvinden
kvindens
kvinder
kvinderne
kvittering
kvitteringerne
kylling
kyllingen
kysse
kysser
kål
kæledyr
kæledyret
kæmp
kæmpe
kæmpede
kæmper
kæmpet
kære
kæreste
kæresten
kærester
kærlighed
købe
køber
køber
købt
købte
kød
kødbolle
kødet
køer
køkken
køkkenbord
køleskab
køleskabet
kølle
kør
kører
lad os 
lagen
lager
lakrids
laks
lam
lampe
lampen
lamper
land
lande
landet
landet
landmand
landmænd
landsby
landsbyen
lang
langsom
langsomme
langsommere
langsomst
langsomste
langsomt
langt
langt fra
larve
lav
lava
lave
lave
laver
lavt
led
lede
leder
leder
lederen
ledning
ledt
ledte
leg
legen
leger
lejlighed
lejligheden
lejligheder
lektier
lektion
levere
leverpostej
lide
lidt
lige nu
ligeglad
ligesom
ligeså
ligge
ligger
ligget
ligne
lille
lillebror
lillesøster
liv
livet
livret
loft
lokale
lotto
lufthavn
lufthavnen
lukkede
lukker
lukket
lyde
lyder
lykkelig
lyn
lys
lys
lys
lyse-
lyserød
lyset
lytte
lytter
lå
låne
lår
lårrene
lårret
læder-
læge
lægen
lægens
lægge
lægge
lægger
lægger
lækker
længe
længst
lære
lærer
lærer
lærer
læreren
lærerens
læse
læser
løb
løb
løbe
løber
løg
løn
lørdag
lørdagen
lørdags
løse
løser
mad
maden
madpakke
madras
mail
mails
maj
male
malede
maler
maleri
maling
man
mand
mand
mandag
mandagen
mandel
manden
mandens
mandler
mange
mangler
mark
marken
marker
marts
maskine
massere
matematik
mave
maven
med
med
medicin
medicinen
medie
medier
medierne
mediet
medspiller
meget
meget
mel
mellem
men
mene
mener
menneske
mennesker
mennesket
mens
mente
menu
menuen
mere
mest
meste
metal
metal
meter
metro
mexicansk
mig
mikrofon
million
min
min
mindre
mine
minus
minut
minutter
mit
mobil
mod
model
modellen
moden
modent
moderne
modne
modspiller
mor
morfar
morfar
morgen
morgenen
morgenmad
mormor
mos
moske
muligt
mund
mund
munk
mus
museet
museum
musik
musiker
musikken
muslim
musling
myre
myresluger
mytologi
må
mål
måne
måned
måneder
måske
måske
mælk
mælken
mænd
mændene
mæt
mætte
møder
mødes
mørk
mørke
mørke-
mørkt
nat
nationalitet
natten
natur
naturen
navn
ned
ned
nederdel
nederdele
nederdelen
nederen
nej
nem
nemme
nemmere
nemt
net
nettet
netværk
ni
niende
nisse
nitten
niveau
nogen
noget
nogle
nok
nord
nordisk
nordlys
nordmand
nordmænd
normalt
norsk
note
notesbog
november
nu
nu
nudler
nul
nummer
ny
nyde
nyder
nye
nyhed
nyheden
nyheder
nyhederne
nyt
nytår
når
næb
nær
næse
næste
næsten
nætter
nød
nødt til
nøgle
ofre
ofrer
ofte
og
også
okay
okse
oksekød
oktober
oldefar
oldemor
oldnordisk
olie
om
om
om
om
om
om
om lidt
omkring
ond
ondt
onkel
onsdag
onsdagen
op
op
opgave
opgaver
opgradere
opkald
opkaldet
opskrift
opskriften
opskrifter
opslagstavle
optagede
optaget
opvask
orange
ord
ord
ordbog
ordbogen
ordet
orker
orm
os
ost
otte
ottende
ovenpå
over
over
over
overraske
overraskede
overrasket
overveje
ovn
ovnen
pakke
pakke
pakken
pande
pap
pap-
papir
papirer
papiret
papkasse
par
paraply
paraplyen
park
parken
parkering
pas
pas på
passe
passer
passer
passer
pasta
pause
pausen
peber
peberfrugt
penge
pengene
pensel
pensler
perfekt
persille
person
personen
pige
pigen
pigens
piger
pilot
piloten
pind
pizza
plan
planen
planer
planke
planlægge
planlægger
plante
plante
planten
planter
plejer
plet
pletten
pletter
plus
plyndre
point
politi
prins
prinsesse
pris
priser
priserne
problem
problemer
program
programmere
projekt
prøv
prøve
prøve
prøve
prøvede
prøver
prøvet
publikum
publikummer
publikummerne
publikummet
pude
pulver
pulveret
pung
putter
pynt
pynte
på
på
på
på
på
på
på grund af
påske
pæn
pæn
pænt
pære
pølse
radiator
radio
radioen
ramme
ramt
rar
rask
raske
raskt
rav
regn
regne
regnen
regner
regning
regning
rejse
rejse
rejsen
rejser
reklame
ren
rense
rent
reol
reolen
reparere
reparerer
restaurant
restauranten
ret
retning
ridde
ridder
rig
rige
rigere
rigest
rigeste 
rigtig
rigtigt
ring
ring
ringede
ringen
ringer
ris
risalamande
risengrød
ro
rock
rod
rolig
roman
romanen
romaner
rugbrød
rundt
rune
russisk
ryg
ryge
ryger
ryggen
rygning
rytme
rå
rå
råbe
råber
råd
råt
råt
rød
rødbede
rødder
røde
rødt
røre
sad
saft
saften
sagde
sagt
salat
salt
salten
samle
samlede
samler
samlet
samme
sammen
samtale
sand
sandet
sandstorm
sandwich
sang
sang
sange
sangen
sanger
sat
sat
satte
satte
savne
savnede
savner
savnet
scor
scor
score
scorer
scorer
se
se
seddel
sejle
sejler
sekretær
sekretæren
seks
sekunder
selv
selvfølgelig
selvom
semester
semesteret
sen
sende
sender
sendt
sendte
senere
seng
sent
september
ser
ser
seriøst
serviet
ses
sgu
shampoo
shopper
shopping
sid
sidde
sidder
sidder
sidder og
side
side
siden
siden
sider
siderne
sidst
sidste
sig
sige
siger
sikke
sikker
sikker
sikkert
sikkert
sikre
sikre
sikrest
sikreste
sild
sin
sine
sit
sjette
sjov
sjove
sjovt
sjælden
sjældent
skab
skabe
skaber
skabet
skabt
skabte
skal
skat
skat
ske
skeen
sker
skete
ski
skib
skille
skilles
skills
skilt
skilte
skinner
skive
skjold
skjorte
skjorten
skjorter
sko
sko
skole
skolen
skov
skoven
skrald
skraldepose
skraldespand
skrev
skrive
skrivebord
skriver
skrue
skruetrækker
skuespiller
skuffe
skuffede
skuffer
skuffet
skum
skumfidus
skurk
sky
skyer
skyet
skæg
skægget
skærer
skærm
skærmen
skøn
skør
skørt
slags
slange
slappe af
slapper af
slave
slik
slikket
slips
slog
slog op
sluge
sluge
sluger
slugte
slukke
slukker
slukket
slut
slutning
slutte
sluttede
slutter
slå
slå
slå
slå
slår
slår
slår
smager
smelte
smeltede
smelter
smile
smilede
smiler
smoothie
smuk
smukke
smukt
smurte
smykke
små
smør
smørre
smørrebrød
smørrer
smørret
snakke
snakker
snart
sne
sneen
snegl
sner
snor
social
sodavand
sofa
sofaen
sofaer
sok
sokker
sol
solcelle
soldat
solen
solgt
solgte
solnedgang
som
som
som helst
sommer
sommeren
sommerferie
sommerfugl
sort
sorte
sortere
sorterer
sov
sov godt
sover
soveværelse
soveværelset
sovs
soyasovs
spaghetti
spansk
spanske
spark
sparke
sparker
spil
spil
spille
spillede
spiller
spillet
spinat
spis
spise
spisepind
spiser
spiser
spiste
sport
sprang
sprog
sprunget
sprøjter
spændende
spændt
spørge
spørger
spørgsmål
st
stadig
stald
starter
station
stationen
ste
sted
sted
steder
stedet
stege
stegt
stegt
stegte
sten
stige
stiger
stille
stjal
stjerne
stjæle
stjæler
stod
stol
stole
stolen
stop
stoppe
stopper
stoppested
stor
store
storebror
storesøster
storm
stort
stram
strand
stranden
streamer 
strøm
studere
studerende
studerer
stue
stuen
stuer
stykke
stå
stå
stå op
står
står
står og
står op
stærk
stærkere
stærkt
større
størst
største
støvle
støvler
sukker
sulten
sund
sundhed
sundt
sunget
super
supermarked
supermarkedet
supermarkedet
suppe
suppen
sur
sur
surfe
surfer
sushi
svamp
svane
svar
svare
svarede
svarer
svaret
sveder
svensk
svensker
sviger-
svin
svinekød
svinet
svinge
svingede
svinger
svær
sværd
svære
sværere
svært
svøm
svømme
svømmer
svømning
sweater
sweateren
syd
syer
syg
syltetøj 
synagoge
synes
synge
synger
syre
syv
syvende
så
så
så
sæbe
sæben
sælg
sælge
sælger
sælger
sæt
sæt
sætning
sætningen
sætte
sætte
sætter
sætter
sø
sød
søde
sødere
søen
søm
sømmet
søn
søndag
søndagen
søndags
søster
t-shirt
tabe
tabt
tabte
tage
tage
tager
tager
tager
taget
tak
tak for
takke
tal
tale
taler
taler
tallene
tallerken
tallet
talte
tand
tanden
tandlæge
tandpasta
tandpastaen
tang
tante
taske
tasken
tasker
tattovering
tavle
taxa
te
teater
teateret
teatre
tegne
tegner
tegning
tekst
teksten
tekster
telefon
telefonen
telefonnummer
temperatur
temperaturen
tennis
ti
tid
tidligt
tiende
til
til
til
til
til
til sidst
til tiden
tilbage
tilbage
tilbud
tilbuddene
tilbuddet
tilfældig
tilfældigt
tilføje
tillykke
tilpas
time
time
ting
tip-
tirsdag
tirsdagen
tirsdags
tit
tjek
tjekke
tjekkede
tjekker
tjekket
tjener
to
tog
tog
togene
toget
togt
toilet
toiletpapir
toilettet
tolv
tolvte
tolvte
tom
tomat
tomaten
tomater
tomme
tomt
top
top
toppen
torden
tordne
tordner
torsdag
torsdagen
tre
tredive
tredje
treds
tretten
trist
troede
troede
tror
tror
trukket
trukket for
træ
træ
træer
træerne
trække
trække
trække
trækker
træls
træsko
træt
trøje
trøjen
trøjer
tunnel
tur
turde
turde
turde
turen
tusind
tydeligt
tyk
tykke
tykt
tynd
type
typen
typer
tysk
tyske
tyv
tyve
tyve
tyven
tyvende
tyvene
tåge
tåget
tænde
tænder
tænder
tænderne
tændstik
tændstikken
tændstikker
tændt
tændte
tænke
tænker
tænkte
tæppe
tæppe
tæt på
tøj
tønde
tør
tør
tør
tørklæde
tørre
tørrede
tørrer
tørstig
u
ud
ud
udadvent
ude
uden
udenfor
udforske
udklædning
udtale
udtaler
udvidelse
uge
ugle
uld
ulv
ulve
umuligt
under
underbukser
underlig
underligst
undersøge
undersøgte
undertrøje
underviser
undskyld
ung
universitet
universitetet
ur
valgt
valgte
vand
vander
vandet
vandt
vanvittig
vanvittigt
var
var med
vare
varede
varen
varer
varer
varerne
varm
varm
varme
varme
varme
varmede
varmer
varmet
varmt
vaske
vaskede
vaskemaskine
vaskepulver
vasker
vasketøj
vasketøjet
ved
ved
ved siden af
vegetar
vej
vejen
vejene
vejledning
vejr
vejret
vejret
velkommen
ven
vende
vender
venlig
venligt
vennen
venner
venstre
venter
verden
vest
vest
vi
vi ses
vide
videnskab
videnskabsmand
videre
vidst
vidste
vigtig
vigtigt
viking
vikinge-
vil
vild
vild
vildt
ville
vin
vind
vinde
vinder
vindmølle
vindue
vinen
vinge
vinter
vinteren
violin
viral
virke
virker
virker
virksomhed
virksomheden
virksomheder
viser
viskelæder
viskestykke
vogn
voksen
voksne
vores
vred
vulkan
vundet
våben
våd
våde
vådt
vågne
vågnede
væg
væggen
væk
væk
vælg
vælge
vælger
være
være
være med
værelse
værelser
værelset
været
værk
værksted
værsgo
værst
værste
weekend
wienerbrød
wow
yndlings-
zoologisk
Ã˜resund
åben
åbent
åbne
åbne
åbnede
åbner
åbnet
år
årene
årstid
årstiden
årstider
årstiderne
æble
æbler
æbleskive
æblet
æde
æder
æg
æggejagt
ægget
ældre
ælling
ænder
ændre
ændrer
ære
ø
øen
øer
øje
øjet
øjne
økologisk
øl
øm
ømme
ømt
ønske
ønskede
ønsker
ønsket
øre
øre
øre
øre
ører
øreringe
ørerne
øret
ørken
øst
øve
øver
